source,target,weight
Epping Station,Strathfield Station,769
Epping Station,Hornsby Station,801
Cheltenham Station,Beecroft Station,1402
Cheltenham Station,Epping Station,1383
Beecroft Station,Pennant Hills Station,1402
Beecroft Station,Cheltenham Station,1383
Pennant Hills Station,Thornleigh Station,1402
Pennant Hills Station,Beecroft Station,1383
Thornleigh Station,Normanhurst Station,1402
Thornleigh Station,Pennant Hills Station,1383
Normanhurst Station,Hornsby Station,1402
Normanhurst Station,Thornleigh Station,1383
Westmead Station,Wentworthville Station,1459
Westmead Station,Parramatta Station,2742
Westmead Station,Seven Hills Station,1265
Westmead Station,Blacktown Station,4
Westmead Station,Penrith Station,60
Wentworthville Station,Pendle Hill Station,1459
Wentworthville Station,Westmead Station,1408
Pendle Hill Station,Toongabbie Station,1459
Pendle Hill Station,Wentworthville Station,1408
Toongabbie Station,Seven Hills Station,1459
Toongabbie Station,Pendle Hill Station,1408
Seven Hills Station,Blacktown Station,2916
Seven Hills Station,Westmead Station,1270
Seven Hills Station,Toongabbie Station,1408
Seven Hills Station,Parramatta Station,222
Blacktown Station,Doonside Station,1642
Blacktown Station,Seven Hills Station,2902
Blacktown Station,Marayong Station,1146
Blacktown Station,Parramatta Station,534
Blacktown Station,Penrith Station,542
Blacktown Station,Westmead Station,4
Doonside Station,Rooty Hill Station,1642
Doonside Station,Blacktown Station,1667
Rooty Hill Station,Mount Druitt Station,1642
Rooty Hill Station,Doonside Station,1667
Mount Druitt Station,St Marys Station,1642
Mount Druitt Station,Rooty Hill Station,1667
St Marys Station,Werrington Station,1642
St Marys Station,Mount Druitt Station,1667
Werrington Station,Kingswood Station,1642
Werrington Station,St Marys Station,1667
Kingswood Station,Penrith Station,1642
Kingswood Station,Werrington Station,1667
Penrith Station,Kingswood Station,1667
Penrith Station,Emu Plains Station,1055
Penrith Station,Blacktown Station,543
Penrith Station,Parramatta Station,74
Penrith Station,Westmead Station,60
Penrith Station,Springwood Station,138
Asquith Station,Mount Colah Station,947
Asquith Station,Hornsby Station,1022
Asquith Station,Berowra Station,35
Mount Colah Station,Mount Kuring-gai Station,947
Mount Colah Station,Asquith Station,1005
Mount Kuring-gai Station,Berowra Station,947
Mount Kuring-gai Station,Mount Colah Station,1005
Berowra Station,Mount Kuring-gai Station,1005
Berowra Station,Cowan Station,473
Berowra Station,Hornsby Station,429
Berowra Station,Woy Woy Station,12
Berowra Station,Asquith Station,11
Marayong Station,Quakers Hill Station,1146
Marayong Station,Blacktown Station,1157
Quakers Hill Station,Schofields Station,1146
Quakers Hill Station,Marayong Station,1154
Schofields Station,Quakers Hill Station,1154
Schofields Station,Blacktown Station,1
Schofields Station,Riverstone Station,667
Schofields Station,Marayong Station,3
Sydenham Station,St Peters Station,1366
Sydenham Station,Revesby Station,166
Sydenham Station,Redfern Station,1736
Sydenham Station,Tempe Station,1010
Sydenham Station,Wolli Creek Station,880
St Peters Station,Erskineville Station,1366
St Peters Station,Sydenham Station,1326
Erskineville Station,Redfern Station,1366
Erskineville Station,St Peters Station,1326
Erskineville Station,Wolli Creek Station,3
Olympic Park Station,Lidcombe Station,1483
Olympic Park Station,Strathfield Station,3
Emu Plains Station,Penrith Station,1126
Emu Plains Station,Lapstone Station,492
Emu Plains Station,Glenbrook Station,57
Riverstone Station,Vineyard Station,667
Riverstone Station,Schofields Station,669
Vineyard Station,Mulgrave Station,667
Vineyard Station,Riverstone Station,669
Mulgrave Station,Windsor Station,667
Mulgrave Station,Vineyard Station,669
Windsor Station,Clarendon Station,667
Windsor Station,Mulgrave Station,669
Clarendon Station,East Richmond Station,667
Clarendon Station,Windsor Station,669
East Richmond Station,Richmond Station,667
East Richmond Station,Clarendon Station,669
Richmond Station,East Richmond Station,669
Newcastle Interchange,Hamilton Station,1366
Hamilton Station,Broadmeadow Station,646
Hamilton Station,Newcastle Interchange,1403
Hamilton Station,Waratah Station,3633
Broadmeadow Station,Adamstown Station,388
Broadmeadow Station,Hamilton Station,655
Broadmeadow Station,Cardiff Station,258
Adamstown Station,Kotara Station,388
Adamstown Station,Broadmeadow Station,450
Kotara Station,Cardiff Station,388
Kotara Station,Adamstown Station,450
Cardiff Station,Cockle Creek Station,388
Cardiff Station,Kotara Station,450
Cardiff Station,Fassifern Station,258
Cardiff Station,Broadmeadow Station,205
Cockle Creek Station,Teralba Station,388
Cockle Creek Station,Cardiff Station,450
Teralba Station,Booragul Station,388
Teralba Station,Cockle Creek Station,450
Booragul Station,Fassifern Station,388
Booragul Station,Teralba Station,450
Fassifern Station,Awaba Station,374
Fassifern Station,Booragul Station,450
Fassifern Station,Morisset Station,272
Fassifern Station,Cardiff Station,205
Awaba Station,Dora Creek Station,374
Awaba Station,Fassifern Station,450
Dora Creek Station,Morisset Station,374
Dora Creek Station,Awaba Station,450
Morisset Station,Wyee Station,474
Morisset Station,Dora Creek Station,450
Morisset Station,Fassifern Station,205
Morisset Station,Wyong Station,193
Wyee Station,Warnervale Station,434
Wyee Station,Morisset Station,546
Wyee Station,Wyong Station,40
Warnervale Station,Wyong Station,434
Warnervale Station,Wyee Station,500
Wyong Station,Tuggerah Station,899
Wyong Station,Warnervale Station,500
Wyong Station,Wyee Station,46
Wyong Station,Morisset Station,132
Tuggerah Station,Ourimbah Station,539
Tuggerah Station,Wyong Station,873
Tuggerah Station,Gosford Station,360
Ourimbah Station,Lisarow Station,512
Ourimbah Station,Tuggerah Station,571
Ourimbah Station,Narara Station,27
Lisarow Station,Niagara Park Station,512
Lisarow Station,Ourimbah Station,571
Niagara Park Station,Narara Station,512
Niagara Park Station,Lisarow Station,571
Narara Station,Gosford Station,539
Narara Station,Niagara Park Station,571
Gosford Station,Point Clare Station,438
Gosford Station,Narara Station,571
Gosford Station,Woy Woy Station,379
Gosford Station,Tuggerah Station,302
Point Clare Station,Tascott Station,438
Point Clare Station,Gosford Station,474
Tascott Station,Koolewong Station,438
Tascott Station,Point Clare Station,474
Koolewong Station,Woy Woy Station,438
Koolewong Station,Tascott Station,474
Woy Woy Station,Hawkesbury River Station,68
Woy Woy Station,Koolewong Station,474
Woy Woy Station,Hornsby Station,355
Woy Woy Station,Gosford Station,372
Woy Woy Station,Wondabyne Station,350
Woy Woy Station,Berowra Station,38
Woy Woy Station,Asquith Station,6
Hawkesbury River Station,Cowan Station,418
Hawkesbury River Station,Woy Woy Station,113
Hawkesbury River Station,Wondabyne Station,360
Cowan Station,Berowra Station,416
Cowan Station,Hawkesbury River Station,473
Cowan Station,Hornsby Station,2
Wondabyne Station,Hawkesbury River Station,350
Wondabyne Station,Woy Woy Station,360
Wollongong Station,North Wollongong Station,803
Wollongong Station,Coniston Station,866
Wollongong Station,Kiama Station,54
North Wollongong Station,Fairy Meadow Station,393
North Wollongong Station,Wollongong Station,817
North Wollongong Station,Thirroul Station,410
Fairy Meadow Station,Towradgi Station,393
Fairy Meadow Station,North Wollongong Station,425
Towradgi Station,Corrimal Station,393
Towradgi Station,Fairy Meadow Station,425
Corrimal Station,Bellambi Station,393
Corrimal Station,Towradgi Station,425
Bellambi Station,Woonona Station,393
Bellambi Station,Corrimal Station,425
Woonona Station,Bulli Station,393
Woonona Station,Bellambi Station,425
Bulli Station,Thirroul Station,393
Bulli Station,Woonona Station,425
Thirroul Station,Austinmer Station,321
Thirroul Station,Helensburgh Station,338
Thirroul Station,North Wollongong Station,392
Thirroul Station,Bulli Station,425
Austinmer Station,Coledale Station,282
Austinmer Station,Thirroul Station,354
Austinmer Station,Helensburgh Station,39
Coledale Station,Wombarra Station,282
Coledale Station,Austinmer Station,334
Wombarra Station,Scarborough Station,282
Wombarra Station,Coledale Station,334
Scarborough Station,Coalcliff Station,282
Scarborough Station,Wombarra Station,334
Coalcliff Station,Stanwell Park Station,282
Coalcliff Station,Scarborough Station,334
Stanwell Park Station,Otford Station,282
Stanwell Park Station,Coalcliff Station,334
Stanwell Park Station,Austinmer Station,6
Otford Station,Helensburgh Station,282
Otford Station,Stanwell Park Station,334
Helensburgh Station,Waterfall Station,337
Helensburgh Station,Otford Station,334
Helensburgh Station,Heathcote Station,14
Helensburgh Station,Stanwell Park Station,6
Helensburgh Station,Thirroul Station,295
Helensburgh Station,Sutherland Station,318
Helensburgh Station,Austinmer Station,14
Waterfall Station,Sutherland Station,156
Waterfall Station,Heathcote Station,739
Waterfall Station,Helensburgh Station,403
Sutherland Station,Hurstville Station,512
Sutherland Station,Jannali Station,1421
Sutherland Station,Waterfall Station,169
Sutherland Station,Oatley Station,65
Sutherland Station,Helensburgh Station,256
Sutherland Station,Loftus Station,797
Sutherland Station,Redfern Station,1
Sutherland Station,Kirrawee Station,1349
Sutherland Station,Mortdale Station,524
Hurstville Station,Wolli Creek Station,1121
Hurstville Station,Sutherland Station,503
Hurstville Station,Oatley Station,358
Hurstville Station,Allawah Station,1256
Hurstville Station,Kogarah Station,630
Hurstville Station,Penshurst Station,1577
Hurstville Station,Mortdale Station,158
Martin Place Station,Kings Cross Station,2769
Martin Place Station,Town Hall Station,2822
Kings Cross Station,Edgecliff Station,2769
Kings Cross Station,Martin Place Station,2787
Edgecliff Station,Bondi Junction Station,2769
Edgecliff Station,Kings Cross Station,2787
Bondi Junction Station,Edgecliff Station,2787
Port Kembla Station,Port Kembla North Station,330
Port Kembla North Station,Cringila Station,330
Port Kembla North Station,Port Kembla Station,338
Cringila Station,Lysaghts Station,330
Cringila Station,Port Kembla North Station,338
Lysaghts Station,Coniston Station,330
Lysaghts Station,Cringila Station,338
Coniston Station,Wollongong Station,855
Coniston Station,Lysaghts Station,338
Coniston Station,Unanderra Station,528
Heathcote Station,Engadine Station,753
Heathcote Station,Waterfall Station,797
Engadine Station,Loftus Station,739
Engadine Station,Sutherland Station,14
Engadine Station,Heathcote Station,797
Loftus Station,Sutherland Station,739
Loftus Station,Engadine Station,797
Jannali Station,Mortdale Station,349
Jannali Station,Oatley Station,277
Jannali Station,Sutherland Station,1492
Jannali Station,Como Station,795
Mortdale Station,Penshurst Station,1588
Mortdale Station,Oatley Station,811
Mortdale Station,Jannali Station,312
Mortdale Station,Sutherland Station,607
Mortdale Station,Hurstville Station,166
Mortdale Station,Como Station,6
Penshurst Station,Hurstville Station,1588
Penshurst Station,Mortdale Station,1572
Penshurst Station,Oatley Station,5
Oatley Station,Hurstville Station,330
Oatley Station,Mortdale Station,807
Oatley Station,Como Station,813
Oatley Station,Jannali Station,361
Tempe Station,Wolli Creek Station,1010
Tempe Station,Sydenham Station,1023
Arncliffe Station,Banksia Station,1000
Arncliffe Station,Wolli Creek Station,1023
Banksia Station,Rockdale Station,1000
Banksia Station,Arncliffe Station,1023
Rockdale Station,Kogarah Station,1881
Rockdale Station,Banksia Station,1023
Rockdale Station,Wolli Creek Station,863
Kogarah Station,Carlton Station,1245
Kogarah Station,Rockdale Station,1886
Kogarah Station,Hurstville Station,636
Carlton Station,Allawah Station,1245
Carlton Station,Kogarah Station,1256
Allawah Station,Hurstville Station,1245
Allawah Station,Carlton Station,1256
Como Station,Jannali Station,819
Como Station,Oatley Station,795
Kiama Station,Bombo Station,480
Kiama Station,Gerringong Station,1115
Bombo Station,Minnamurra Station,480
Bombo Station,Kiama Station,493
Minnamurra Station,Shellharbour Junction,480
Minnamurra Station,Bombo Station,493
Shellharbour Junction,Oak Flats Station,480
Shellharbour Junction,Minnamurra Station,493
Oak Flats Station,Albion Park Station,480
Oak Flats Station,Shellharbour Junction,493
Albion Park Station,Dapto Station,480
Albion Park Station,Oak Flats Station,493
Dapto Station,Kembla Grange Station,77
Dapto Station,Unanderra Station,434
Dapto Station,Albion Park Station,493
Kembla Grange Station,Unanderra Station,77
Kembla Grange Station,Dapto Station,87
Unanderra Station,Coniston Station,511
Unanderra Station,Dapto Station,441
Unanderra Station,Kembla Grange Station,87
Kirrawee Station,Gymea Station,1349
Kirrawee Station,Sutherland Station,1281
Gymea Station,Miranda Station,1349
Gymea Station,Kirrawee Station,1281
Miranda Station,Caringbah Station,1349
Miranda Station,Gymea Station,1281
Caringbah Station,Woolooware Station,1349
Caringbah Station,Miranda Station,1281
Woolooware Station,Cronulla Station,1349
Woolooware Station,Caringbah Station,1281
Cronulla Station,Woolooware Station,1281
Bankstown Station,Yagoona Station,517
Yagoona Station,Birrong Station,517
Yagoona Station,Bankstown Station,522
Birrong Station,Regents Park Station,517
Birrong Station,Yagoona Station,522
Gerringong Station,Berry Station,1115
Gerringong Station,Kiama Station,1115
Berry Station,Bomaderry Station,1115
Berry Station,Gerringong Station,1115
Bomaderry Station,Berry Station,1115
Moss Vale Station,Burradoo Station,1628
Moss Vale Station,Exeter Station,246
Moss Vale Station,Bowral Station,130
Burradoo Station,Bowral Station,1628
Burradoo Station,Moss Vale Station,1756
Bowral Station,Mittagong Station,1758
Bowral Station,Burradoo Station,1756
Mittagong Station,Yerrinbool Station,1628
Mittagong Station,Bowral Station,1756
Mittagong Station,Tahmoor Station,130
Yerrinbool Station,Bargo Station,1628
Yerrinbool Station,Mittagong Station,1756
Bargo Station,Tahmoor Station,1628
Bargo Station,Yerrinbool Station,1756
Tahmoor Station,Picton Station,1758
Tahmoor Station,Bargo Station,1756
Picton Station,Douglas Park Station,1628
Picton Station,Tahmoor Station,1756
Picton Station,Macarthur Station,130
Douglas Park Station,Menangle Station,1628
Douglas Park Station,Picton Station,1756
Menangle Station,Menangle Park Station,1628
Menangle Station,Douglas Park Station,1756
Menangle Park Station,Macarthur Station,1628
Menangle Park Station,Menangle Station,1756
Exeter Station,Bundanoon Station,246
Exeter Station,Moss Vale Station,310
Bundanoon Station,Penrose Station,246
Bundanoon Station,Exeter Station,310
Penrose Station,Wingello Station,246
Penrose Station,Bundanoon Station,310
Wingello Station,Tallong Station,246
Wingello Station,Penrose Station,310
Tallong Station,Marulan Station,246
Tallong Station,Wingello Station,310
Marulan Station,Goulburn Station,246
Marulan Station,Tallong Station,310
Goulburn Station,Marulan Station,310
Waratah Station,Warabrook Station,3633
Waratah Station,Hamilton Station,3766
Warabrook Station,Sandgate Station,2148
Warabrook Station,Waratah Station,3766
Warabrook Station,Beresfield Station,1485
Sandgate Station,Hexham Station,2148
Sandgate Station,Warabrook Station,2064
Hexham Station,Tarro Station,2148
Hexham Station,Sandgate Station,2064
Tarro Station,Beresfield Station,2148
Tarro Station,Hexham Station,2064
Beresfield Station,Thornton Station,3633
Beresfield Station,Warabrook Station,1702
Beresfield Station,Tarro Station,2064
